GEOID,NAME,total_popE,total_popM,white_aloneE,white_aloneM,black_aloneE,black_aloneM,asian_aloneE,asian_aloneM,hispanic_totalE,hispanic_totalM,median_incomeE,median_incomeM,poverty_totalE,poverty_totalM,poverty_belowE,poverty_belowM,total_householdsE,total_householdsM,no_vehicleE,no_vehicleM,pop_25_plusE,pop_25_plusM,bachelors_plusE,bachelors_plusM,pct_black,pct_white,pct_hispanic,pct_poverty,pct_no_vehicle,pct_bachelors,high_moe_flag,z_pct_black,z_pct_poverty,z_pct_no_vehicle,vulnerability_index,vulnerability_category
01101002201,Census Tract 22.01; Montgomery County; Alabama,3541,810,148,154,3045,700,0,13,386,397,32178,9145,3528,810,1286,559,1479,298,161,179,2737,646,193,107,85.99265744140074,4.179610279582039,10.900875458909914,36.45124716553288,10.885733603786342,7.051516258677385,1,1.0034405722575752,0.9642540473590255,2.8248168687920328,1.5975038294695445,High
01101002400,Census Tract 24; Montgomery County; Alabama,1368,502,3,7,1286,513,0,13,0,13,20313,13076,1343,498,591,454,649,136,73,83,979,277,58,51,94.00584795321637,0.21929824561403508,0,44.00595681310499,11.248073959938367,5.9244126659857,1,1.3051361856334756,1.4607385709355463,2.940373719799024,1.9020828254560154,High
01101002000,Census Tract 20; Montgomery County; Alabama,4548,668,2850,438,1487,409,0,13,129,142,91159,18220,4536,668,747,440,1896,226,0,13,2976,332,1025,243,32.69569041336851,62.66490765171504,2.836411609498681,16.46825396825397,0,34.44220430107527,0,-1.0031835227128088,-0.34899918407023367,-0.6468391993130574,-0.6663406353653666,Low
01101001800,Census Tract 18; Montgomery County; Alabama,3323,512,1350,430,1601,431,19,28,210,227,42236,16359,3304,514,940,286,1541,193,6,10,2481,405,197,93,48.1793560036112,40.625940415287396,6.319590731266928,28.45036319612591,0.3893575600259572,7.940346634421604,1,-0.42022546366409785,0.4384475966744992,-0.5226660764785482,-0.16814798115604898,Low
01101000500,Census Tract 5; Montgomery County; Alabama,2901,480,1242,306,610,351,34,54,804,422,39082,7569,2901,480,565,373,1272,195,12,19,1875,279,333,100,21.027231988969323,42.812823164426064,27.714581178903824,19.47604274388142,0.9433962264150944,17.76,1,-1.4424995125559936,-0.1513316830080167,-0.34597318942629846,-0.6466014616634362,Low
01101005609,Census Tract 56.09; Montgomery County; Alabama,5061,958,573,298,3649,844,624,353,53,79,77332,15555,4960,841,184,130,2068,283,0,19,3659,645,1179,548,72.1003754198775,11.32187314759929,1.0472238688006321,3.7096774193548385,0,32.22191855698278,1,0.4803979041100545,-1.1874742671504257,-0.6468391993130574,-0.45130518745114284,Low
01101005608,Census Tract 56.08; Montgomery County; Alabama,1451,217,953,172,296,170,185,116,9,14,153864,17989,1451,217,95,92,510,74,0,13,967,115,332,114,20.399724328049622,65.6788421778084,0.6202618883528601,6.547208821502412,0,34.332988624612206,0,-1.4661250969446458,-1.0009958328956554,-0.6468391993130574,-1.0379867097177862,Very Low
01101005407,Census Tract 54.07; Montgomery County; Alabama,4265,644,1535,404,2206,628,192,133,108,84,72984,11375,3857,636,248,161,2142,327,53,75,3175,453,729,240,51.72332942555686,35.990621336459554,2.5322391559202813,6.429867772880477,2.4743230625583568,22.96062992125984,1,-0.28679531074994663,-1.008707315843217,0.1422668901098239,-0.3844119121611132,Low
01101005502,Census Tract 55.02; Montgomery County; Alabama,3475,484,891,263,1680,332,584,277,86,124,102865,24119,3463,478,252,149,1227,139,0,13,2133,240,707,205,48.34532374100719,25.64028776978417,2.474820143884892,7.27692751949177,0,33.14580403187998,0,-0.4139767992575218,-0.9530397820323959,-0.6468391993130574,-0.6712852602009917,Low
01101005610,Census Tract 56.10; Montgomery County; Alabama,1652,418,485,151,1031,363,0,13,214,148,70804,8396,1649,418,276,181,572,141,7,11,1030,241,181,93,62.409200968523,29.358353510895885,12.953995157384988,16.737416616130986,1.2237762237762237,17.57281553398058,1,0.11552640678036308,-0.33131020656746984,-0.2565549697047093,-0.15744625649727204,Low
01101005414,Census Tract 54.14; Montgomery County; Alabama,4812,1424,840,355,3724,1333,117,105,62,70,73441,12924,4733,1425,219,172,1867,364,16,25,2658,639,992,393,77.38985868661679,17.45635910224439,1.288445552784705,4.627086414536235,0.8569898232458489,37.32129420617005,1,0.6795462828048339,-1.1271834831037049,-0.3735297441615078,-0.27372231482012627,Low
01101002902,Census Tract 29.02; Montgomery County; Alabama,3829,865,21,24,3519,730,0,13,0,13,43203,22213,3829,865,1291,639,1602,239,31,37,2495,396,384,242,91.90389135544528,0.5484460694698354,0,33.7163750326456,1.9350811485642945,15.390781563126252,1,1.2259977845036136,0.7845222308787441,-0.029707046698894,0.6602709895611546,Moderate
01101005411,Census Tract 54.11; Montgomery County; Alabama,3182,552,2298,505,355,135,243,227,38,55,156250,46616,3182,552,108,102,1228,131,72,86,2285,274,822,191,11.156505342551855,72.21873035826523,1.1942174732872406,3.39409176618479,5.863192182410423,35.97374179431072,1,-1.8141311274122358,-1.2082140970010768,1.2230381520352684,-0.5997690241260146,Low
01101006100,Census Tract 61; Montgomery County; Alabama,1871,356,28,39,1841,352,0,13,0,13,45192,21079,1863,360,569,297,812,145,137,121,1495,225,111,51,98.39657936932122,1.4965259219668627,0,30.542136339237793,16.871921182266007,7.424749163879599,1,1.4704466703645371,0.5759158834566156,4.7339196622331405,2.2600940720180978,High
01101003100,Census Tract 31; Montgomery County; Alabama,3186,598,111,76,3053,592,0,13,12,19,57908,11222,3125,599,788,345,1286,243,0,13,2293,539,215,101,95.82548650345261,3.483992467043315,0.3766478342749529,25.216,0,9.376362843436546,1,1.3736453478362805,0.22588995443366586,-0.6468391993130574,0.3175653676522963,Moderate
01101000400,Census Tract 4; Montgomery County; Alabama,4753,763,1035,236,3238,847,27,33,340,338,40528,5287,4423,725,1775,747,1535,222,16,25,2799,464,117,85,68.12539448769198,21.775720597517356,7.153376814643384,40.13113271535157,1.0423452768729642,4.180064308681672,1,0.33074037272790174,1.2060907703103847,-0.31441655907335503,0.4074715279883105,Moderate
01101005102,Census Tract 51.02; Montgomery County; Alabama,4377,1151,393,270,3803,1046,0,13,25,30,46771,22659,4342,1151,1047,501,1593,297,108,57,2640,618,229,152,86.8859949737263,8.978752570253597,0.5711674663011195,24.113311837862735,6.779661016949152,8.674242424242424,1,1.0370746178189862,0.15342289317365676,1.5153165327544982,0.9019380145823804,Moderate
01101001600,Census Tract 16; Montgomery County; Alabama,4273,792,914,388,2270,631,0,13,1256,587,21928,9947,4273,792,1655,767,1622,341,0,13,2204,375,284,185,53.12426866370231,21.390124034636088,29.393868476480222,38.731570325298385,0,12.885662431941924,1,-0.23405012490525226,1.1141135668364586,-0.6468391993130574,0.07774141420604963,Moderate
01101001700,Census Tract 17; Montgomery County; Alabama,5256,826,2137,409,2548,611,6,2,254,219,70349,13732,5113,826,578,345,1939,241,27,34,3325,464,463,211,48.4779299847793,40.65829528158295,4.832572298325723,11.304517895560338,1.3924703455389376,13.924812030075188,1,-0.40898419088345284,-0.6883524039190075,-0.2027553827602446,-0.4333639925209017,Low
01101005700,Census Tract 57; Montgomery County; Alabama,1480,424,888,296,367,123,0,13,136,141,66007,14299,1474,421,398,380,579,97,16,15,1000,230,81,54,24.7972972972973,60,9.18918918918919,27.00135685210312,2.763385146804836,8.1,1,-1.3005570285995633,0.3432210085020855,0.2344539833604195,-0.24096067891235276,Low
01101001000,Census Tract 10; Montgomery County; Alabama,923,191,115,72,770,188,0,13,23,31,35176,6239,912,190,410,173,399,68,11,11,709,154,24,23,83.42361863488624,12.459371614301192,2.4918743228602382,44.95614035087719,2.756892230576441,3.385049365303244,1,0.9067165848052581,1.52318325022414,0.23238327569436346,0.8874277035745872,Moderate
01101000300,Census Tract 3; Montgomery County; Alabama,1294,382,185,113,1096,390,0,13,23,20,NA,NA,1294,382,556,282,621,238,30,29,1011,314,43,57,84.69860896445131,14.296754250386398,1.777434312210201,42.96754250386399,4.830917874396135,4.253214638971316,1,0.9547198101072507,1.3924954937493508,0.893827324744742,1.0803475428671145,High
01101001300,Census Tract 13; Montgomery County; Alabama,1712,278,716,287,936,278,0,13,32,35,65089,37185,1712,278,378,259,965,181,0,13,1397,252,300,169,54.67289719626168,41.822429906542055,1.8691588785046727,22.07943925233645,0,21.47458840372226,1,-0.1757444557297845,0.01975974677267181,-0.6468391993130574,-0.26760796942339005,Low
01101005402,Census Tract 54.02; Montgomery County; Alabama,5370,1118,1168,398,4026,1019,121,110,19,30,51369,9580,5279,1121,1664,947,2155,409,8,13,3429,671,491,224,74.97206703910615,21.75046554934823,0.3538175046554935,31.521121424512216,0.37122969837587005,14.31904345290172,1,0.5885167318369292,0.6402533585318088,-0.5284473773251356,0.23344090434786746,Moderate
01101005903,Census Tract 59.03; Montgomery County; Alabama,1958,438,1201,336,563,204,2,11,193,286,86341,11921,1958,438,265,295,722,139,7,11,1446,333,267,122,28.753830439223698,61.33810010214504,9.85699693564862,13.534218590398368,0.9695290858725761,18.464730290456433,1,-1.1515940541968617,-0.5418197191651122,-0.3376389509252802,-0.677017574762418,Low
01101005413,Census Tract 54.13; Montgomery County; Alabama,3057,532,2064,378,716,404,75,73,0,13,117665,17232,3057,532,159,130,1513,243,0,13,2706,378,617,176,23.42165521753353,67.5171736997056,0,5.20117762512267,0,22.801182557280118,1,-1.352349779617783,-1.0894550442259678,-0.6468391993130574,-1.029548007718936,Very Low
01101005412,Census Tract 54.12; Montgomery County; Alabama,6672,692,2497,458,2504,753,676,315,746,588,87569,20975,6651,691,541,510,2831,281,19,33,4790,445,1854,425,37.52997601918465,37.42505995203837,11.181055155875299,8.134115170651029,0.6711409395973155,38.70563674321503,0,-0.8211732786121075,-0.8967066570739468,-0.4328002929506652,-0.7168934095455732,Low
01101005904,Census Tract 59.04; Montgomery County; Alabama,2728,556,1183,283,1248,571,16,25,289,192,52563,15145,2666,555,397,245,1119,248,0,13,2108,564,292,163,45.74780058651026,43.36510263929619,10.593841642228739,14.891222805701426,0,13.851992409867172,1,-0.5117732188233026,-0.4526393770003289,-0.6468391993130574,-0.5370839317122297,Low
01101000900,Census Tract 9; Montgomery County; Alabama,1573,265,1091,289,261,70,62,50,178,69,127538,24224,859,258,34,26,262,102,0,13,1093,252,153,93,16.59249841068023,69.35791481246027,11.315956770502225,3.958090803259604,0,13.998170173833484,1,-1.6094666731504919,-1.171148901079259,-0.6468391993130574,-1.1424849245142694,Very Low
01101005607,Census Tract 56.07; Montgomery County; Alabama,6234,1173,2661,1053,1766,496,1518,430,241,193,121620,14682,6227,1172,557,546,2170,329,0,19,3743,556,1327,351,28.328521013795317,42.685274302213664,3.865896695540584,8.944917295647985,0,35.45284531124766,1,-1.1676069004894796,-0.8434219213894572,-0.6468391993130574,-0.8859560070639981,Low
01101005504,Census Tract 55.04; Montgomery County; Alabama,2038,400,1805,391,91,70,0,13,71,70,152056,7517,2038,400,24,26,695,145,12,16,1381,314,552,196,4.465161923454367,88.56722276741904,3.483807654563297,1.1776251226692835,1.7266187050359711,39.971035481535125,1,-2.066059364255815,-1.3538770591617337,-0.09618946611024108,-1.17204196317593,Very Low
01101005501,Census Tract 55.01; Montgomery County; Alabama,3018,438,865,167,1636,453,155,137,49,38,66875,16036,1579,284,164,159,617,109,0,13,2258,208,278,101,54.208084824387015,28.661365142478463,1.6235917826375081,10.3863204559848,0,12.311780336581045,0,-0.19324458298005504,-0.7486950033838787,-0.6468391993130574,-0.529592928558997,Low
01101005605,Census Tract 56.05; Montgomery County; Alabama,4263,634,1043,320,3053,745,13,21,123,76,68281,14096,4036,548,645,345,1617,173,0,13,2720,345,600,198,71.61623269997655,24.46633825944171,2.8852920478536244,15.981169474727452,0,22.058823529411764,0,0.4621699916915718,-0.38100966812473885,-0.6468391993130574,-0.1885596252487415,Low
01101002600,Census Tract 26; Montgomery County; Alabama,5352,659,3635,527,1363,439,42,59,391,239,68594,13973,5140,656,573,358,2365,387,0,19,3782,497,731,223,25.467115097159944,67.9185351270553,7.3056801195814645,11.14785992217899,0,19.32839767318879,0,-1.2753384728093717,-0.6986477379433532,-0.6468391993130574,-0.8736084700219275,Low
01101005403,Census Tract 54.03; Montgomery County; Alabama,3835,755,665,146,2502,685,565,390,21,91,47734,21443,3835,755,649,453,1935,269,13,25,2569,508,506,201,65.24119947848762,17.340286831812254,0.5475880052151239,16.923076923076923,0.6718346253229974,19.696379914363565,1,0.22215079394345058,-0.3191088813887123,-0.43257906410687974,-0.1765123838507138,Low
01101005503,Census Tract 55.03; Montgomery County; Alabama,6871,672,4609,642,1026,400,686,366,531,587,87264,23478,6871,672,241,179,2467,235,15,25,4508,405,1470,294,14.932324261388445,67.07902779799156,7.728132731771212,3.507495269975258,0.6080259424402107,32.608695652173914,0,-1.6719720207449185,-1.2007613837694817,-0.4529287997508577,-1.1085540680884192,Very Low
01101006000,Census Tract 60; Montgomery County; Alabama,3201,556,1275,385,1694,567,0,13,330,264,40650,7146,3201,556,807,425,1307,172,43,67,2382,341,163,131,52.92096219931272,39.831302717900655,10.309278350515463,25.21087160262418,3.2899770466717673,6.842989084802687,1,-0.24170458767970657,0.22555292362154675,0.40239360333716995,0.12874731309300338,Moderate
01101002500,Census Tract 25; Montgomery County; Alabama,2674,539,294,160,2054,521,231,208,50,86,49604,10663,2611,499,786,381,909,112,35,30,1526,298,105,68,76.81376215407629,10.99476439790576,1.8698578908002992,30.103408655687474,3.850385038503851,6.8807339449541285,1,0.6578563209235763,0.5470833385794855,0.5811177827330106,0.5953524807453575,Moderate
01101005410,Census Tract 54.10; Montgomery County; Alabama,4547,675,841,405,3540,575,61,83,24,41,47073,20941,4255,596,600,500,2385,268,18,30,3252,488,546,245,77.85352979986804,18.495711458104243,0.5278205410160546,14.101057579318448,0.7547169811320755,16.789667896678967,0,0.6970034418116933,-0.5045678857410405,-0.4061463914036502,-0.07123694511099915,Low
01101005101,Census Tract 51.01; Montgomery County; Alabama,3704,401,716,171,2804,381,9,15,169,194,62083,17858,3352,382,177,87,1289,179,28,32,2587,280,555,134,75.70194384449243,19.330453563714904,4.5626349892008635,5.280429594272077,2.1722265321955003,21.453420950908388,0,0.6159965016196601,-1.084246720149835,0.04592287775746276,-0.14077578025757068,Low
01101005800,Census Tract 58; Montgomery County; Alabama,1910,368,1371,341,519,130,0,13,0,13,42031,20056,1910,368,343,154,863,127,50,39,1485,241,223,102,27.17277486910995,71.78010471204188,0,17.958115183246072,5.793742757821553,15.016835016835017,1,-1.2111205972515298,-0.251087673234313,1.2008894824943845,-0.08710626266381942,Low
01101001500,Census Tract 15; Montgomery County; Alabama,4598,626,1113,418,3137,443,34,46,440,400,44597,29652,1971,473,639,274,866,140,0,13,1572,326,239,113,68.22531535450196,24.206176598521097,9.569377990430622,32.42009132420091,0,15.203562340966922,0,0.3345023807766107,0.699332352057392,-0.6468391993130574,0.12899851117364844,Moderate
01101002800,Census Tract 28; Montgomery County; Alabama,4387,730,570,244,3706,765,100,117,0,13,53247,11651,4387,730,1030,695,2224,296,0,13,2835,506,416,330,84.47686346022338,12.992933667654432,0,23.478459083656258,0,14.673721340388008,1,0.9463711198055853,0.11170129407623278,-0.6468391993130574,0.13707773818958688,Moderate
01101000100,Census Tract 1; Montgomery County; Alabama,943,136,464,126,456,121,0,13,43,49,56750,11097,886,137,275,68,644,117,0,13,742,138,319,117,48.35630965005302,49.20466595970308,4.559915164369035,31.038374717832955,0,42.99191374663073,0,-0.41356318116580343,0.6085279475160705,-0.6468391993130574,-0.15062481098759678,Low
01101001900,Census Tract 19; Montgomery County; Alabama,2786,505,1655,302,835,390,6,11,239,272,42351,17854,2786,505,454,284,1403,287,33,40,1930,339,361,119,29.971284996410624,59.40416367552046,8.578607322325915,16.295764536970566,2.3521026372059874,18.704663212435232,1,-1.1057570434773236,-0.36033493846818687,0.10328860010524828,-0.4542677939467541,Low
01101001200,Census Tract 12; Montgomery County; Alabama,1678,434,3,6,1625,441,9,14,17,21,22164,13918,1678,434,904,421,729,157,41,45,937,202,37,36,96.8414779499404,0.17878426698450536,1.0131108462455305,53.87365911799762,5.6241426611796985,3.9487726787620065,1,1.411897297815609,2.1092296058244937,1.1468009638801584,1.5559759558400872,High
01101001400,Census Tract 14; Montgomery County; Alabama,3596,472,2589,427,814,253,28,36,121,86,97127,17413,2958,474,103,63,1411,193,18,25,2230,342,583,165,22.636262513904338,71.99666295884316,3.3648498331479417,3.4820824881676806,1.2756909992912826,26.143497757847534,0,-1.3819197159762135,-1.2024314748063418,-0.23999841485952378,-0.9414498685473598,Low
01101005302,Census Tract 53.02; Montgomery County; Alabama,2274,414,528,156,1418,341,0,13,286,170,38819,26038,2223,389,596,227,975,269,26,27,1640,349,277,91,62.3570800351803,23.218997361477573,12.576956904133684,26.810616284300494,2.666666666666667,16.890243902439025,1,0.11356406020550457,0.33068581597319235,0.20360872196684796,0.21595286604851496,Moderate
